key,run_counts,run_partition,chi_squared,p_value
0000000,[0 0 0 0 0 0 1],[7],66.0,0.015625
1111111,[0 0 0 0 0 0 1],[7],66.0,0.015625
1000000,[1 0 0 0 0 1 0],[1 6],32.44444444444444,0.046875
1111110,[1 0 0 0 0 1 0],[6 1],32.44444444444444,0.046875
0000001,[1 0 0 0 0 1 0],[6 1],32.44444444444444,0.046875
0111111,[1 0 0 0 0 1 0],[1 6],32.44444444444444,0.046875
0011111,[0 1 0 0 1 0 0],[2 5],13.8,0.078125
1111100,[0 1 0 0 1 0 0],[5 2],13.8,0.078125
1100000,[0 1 0 0 1 0 0],[2 5],13.8,0.078125
0000011,[0 1 0 0 1 0 0],[5 2],13.8,0.078125
1111101,[2 0 0 0 1 0 0],[5 1 1],12.57777777777778,0.125
1011111,[2 0 0 0 1 0 0],[1 1 5],12.57777777777778,0.125
0111110,[2 0 0 0 1 0 0],[1 5 1],12.57777777777778,0.125
0100000,[2 0 0 0 1 0 0],[1 1 5],12.57777777777778,0.125
0000010,[2 0 0 0 1 0 0],[5 1 1],12.57777777777778,0.125
1000001,[2 0 0 0 1 0 0],[1 5 1],12.57777777777778,0.125
0101010,[7 0 0 0 0 0 0],[1 1 1 1 1 1 1],11.777777777777779,0.140625
1010101,[7 0 0 0 0 0 0],[1 1 1 1 1 1 1],11.777777777777779,0.140625
1111000,[0 0 1 1 0 0 0],[4 3],7.619047619047619,0.171875
1110000,[0 0 1 1 0 0 0],[3 4],7.619047619047619,0.171875
0000111,[0 0 1 1 0 0 0],[4 3],7.619047619047619,0.171875
0001111,[0 0 1 1 0 0 0],[3 4],7.619047619047619,0.171875
1000111,[1 0 2 0 0 0 0],[1 3 3],7.587301587301588,0.21875
0001110,[1 0 2 0 0 0 0],[3 3 1],7.587301587301588,0.21875
0001000,[1 0 2 0 0 0 0],[3 1 3],7.587301587301588,0.21875
1110001,[1 0 2 0 0 0 0],[3 3 1],7.587301587301588,0.21875
1110111,[1 0 2 0 0 0 0],[3 1 3],7.587301587301588,0.21875
0111000,[1 0 2 0 0 0 0],[1 3 3],7.587301587301588,0.21875
1100100,[1 3 0 0 0 0 0],[2 2 1 2],5.444444444444445,0.28125
0010011,[1 3 0 0 0 0 0],[2 1 2 2],5.444444444444445,0.28125
0011011,[1 3 0 0 0 0 0],[2 2 1 2],5.444444444444445,0.28125
1101100,[1 3 0 0 0 0 0],[2 1 2 2],5.444444444444445,0.28125
0110011,[1 3 0 0 0 0 0],[1 2 2 2],5.444444444444445,0.28125
0011001,[1 3 0 0 0 0 0],[2 2 2 1],5.444444444444445,0.28125
1100110,[1 3 0 0 0 0 0],[2 2 2 1],5.444444444444445,0.28125
1001100,[1 3 0 0 0 0 0],[1 2 2 2],5.444444444444445,0.28125
0111101,[3 0 0 1 0 0 0],[1 4 1 1],5.333333333333334,0.34375
1000010,[3 0 0 1 0 0 0],[1 4 1 1],5.333333333333334,0.34375
0101111,[3 0 0 1 0 0 0],[1 1 1 4],5.333333333333334,0.34375
1011110,[3 0 0 1 0 0 0],[1 1 4 1],5.333333333333334,0.34375
0000101,[3 0 0 1 0 0 0],[4 1 1 1],5.333333333333334,0.34375
0100001,[3 0 0 1 0 0 0],[1 1 4 1],5.333333333333334,0.34375
1010000,[3 0 0 1 0 0 0],[1 1 1 4],5.333333333333334,0.34375
1111010,[3 0 0 1 0 0 0],[4 1 1 1],5.333333333333334,0.34375
1100001,[1 1 0 1 0 0 0],[2 4 1],4.777777777777778,0.4375
0000100,[1 1 0 1 0 0 0],[4 1 2],4.777777777777778,0.4375
0011110,[1 1 0 1 0 0 0],[2 4 1],4.777777777777778,0.4375
0000110,[1 1 0 1 0 0 0],[4 2 1],4.777777777777778,0.4375
1101111,[1 1 0 1 0 0 0],[2 1 4],4.777777777777778,0.4375
1000011,[1 1 0 1 0 0 0],[1 4 2],4.777777777777778,0.4375
1111011,[1 1 0 1 0 0 0],[4 1 2],4.777777777777778,0.4375
0110000,[1 1 0 1 0 0 0],[1 2 4],4.777777777777778,0.4375
1001111,[1 1 0 1 0 0 0],[1 2 4],4.777777777777778,0.4375
0010000,[1 1 0 1 0 0 0],[2 1 4],4.777777777777778,0.4375
1111001,[1 1 0 1 0 0 0],[4 2 1],4.777777777777778,0.4375
0111100,[1 1 0 1 0 0 0],[1 4 2],4.777777777777778,0.4375
1100111,[0 2 1 0 0 0 0],[2 2 3],4.285714285714286,0.484375
0001100,[0 2 1 0 0 0 0],[3 2 2],4.285714285714286,0.484375
1100011,[0 2 1 0 0 0 0],[2 3 2],4.285714285714286,0.484375
0011100,[0 2 1 0 0 0 0],[2 3 2],4.285714285714286,0.484375
0011000,[0 2 1 0 0 0 0],[2 2 3],4.285714285714286,0.484375
1110011,[0 2 1 0 0 0 0],[3 2 2],4.285714285714286,0.484375
0101101,[5 1 0 0 0 0 0],[1 1 1 2 1 1],4.111111111111111,0.578125
1010010,[5 1 0 0 0 0 0],[1 1 1 2 1 1],4.111111111111111,0.578125
0100101,[5 1 0 0 0 0 0],[1 1 2 1 1 1],4.111111111111111,0.578125
0101001,[5 1 0 0 0 0 0],[1 1 1 1 2 1],4.111111111111111,0.578125
0010101,[5 1 0 0 0 0 0],[2 1 1 1 1 1],4.111111111111111,0.578125
0101011,[5 1 0 0 0 0 0],[1 1 1 1 1 2],4.111111111111111,0.578125
1001010,[5 1 0 0 0 0 0],[1 2 1 1 1 1],4.111111111111111,0.578125
1010100,[5 1 0 0 0 0 0],[1 1 1 1 1 2],4.111111111111111,0.578125
1011010,[5 1 0 0 0 0 0],[1 1 2 1 1 1],4.111111111111111,0.578125
0110101,[5 1 0 0 0 0 0],[1 2 1 1 1 1],4.111111111111111,0.578125
1010110,[5 1 0 0 0 0 0],[1 1 1 1 2 1],4.111111111111111,0.578125
1101010,[5 1 0 0 0 0 0],[2 1 1 1 1 1],4.111111111111111,0.578125
0101110,[4 0 1 0 0 0 0],[1 1 1 3 1],3.3968253968253967,0.65625
1000101,[4 0 1 0 0 0 0],[1 3 1 1 1],3.3968253968253967,0.65625
1110101,[4 0 1 0 0 0 0],[3 1 1 1 1],3.3968253968253967,0.65625
1011101,[4 0 1 0 0 0 0],[1 1 3 1 1],3.3968253968253967,0.65625
1010111,[4 0 1 0 0 0 0],[1 1 1 1 3],3.3968253968253967,0.65625
0101000,[4 0 1 0 0 0 0],[1 1 1 1 3],3.3968253968253967,0.65625
0001010,[4 0 1 0 0 0 0],[3 1 1 1 1],3.3968253968253967,0.65625
0100010,[4 0 1 0 0 0 0],[1 1 3 1 1],3.3968253968253967,0.65625
1010001,[4 0 1 0 0 0 0],[1 1 1 3 1],3.3968253968253967,0.65625
0111010,[4 0 1 0 0 0 0],[1 3 1 1 1],3.3968253968253967,0.65625
1101011,[3 2 0 0 0 0 0],[2 1 1 1 2],2.0,0.8125
1100101,[3 2 0 0 0 0 0],[2 2 1 1 1],2.0,0.8125
1101001,[3 2 0 0 0 0 0],[2 1 1 2 1],2.0,0.8125
1101101,[3 2 0 0 0 0 0],[2 1 2 1 1],2.0,0.8125
0010010,[3 2 0 0 0 0 0],[2 1 2 1 1],2.0,0.8125
1011011,[3 2 0 0 0 0 0],[1 1 2 1 2],2.0,0.8125
0010110,[3 2 0 0 0 0 0],[2 1 1 2 1],2.0,0.8125
1011001,[3 2 0 0 0 0 0],[1 1 2 2 1],2.0,0.8125
1001001,[3 2 0 0 0 0 0],[1 2 1 2 1],2.0,0.8125
0011010,[3 2 0 0 0 0 0],[2 2 1 1 1],2.0,0.8125
0100100,[3 2 0 0 0 0 0],[1 1 2 1 2],2.0,0.8125
0100110,[3 2 0 0 0 0 0],[1 1 2 2 1],2.0,0.8125
0101100,[3 2 0 0 0 0 0],[1 1 1 2 2],2.0,0.8125
0110010,[3 2 0 0 0 0 0],[1 2 2 1 1],2.0,0.8125
0110100,[3 2 0 0 0 0 0],[1 2 1 1 2],2.0,0.8125
0110110,[3 2 0 0 0 0 0],[1 2 1 2 1],2.0,0.8125
1001011,[3 2 0 0 0 0 0],[1 2 1 1 2],2.0,0.8125
0010100,[3 2 0 0 0 0 0],[2 1 1 1 2],2.0,0.8125
1010011,[3 2 0 0 0 0 0],[1 1 1 2 2],2.0,0.8125
1001101,[3 2 0 0 0 0 0],[1 2 2 1 1],2.0,0.8125
1001000,[2 1 1 0 0 0 0],[1 2 1 3],1.0634920634920635,1.0
0110001,[2 1 1 0 0 0 0],[1 2 3 1],1.0634920634920635,1.0
1011000,[2 1 1 0 0 0 0],[1 1 2 3],1.0634920634920635,1.0
0011101,[2 1 1 0 0 0 0],[2 3 1 1],1.0634920634920635,1.0
0001101,[2 1 1 0 0 0 0],[3 2 1 1],1.0634920634920635,1.0
0100011,[2 1 1 0 0 0 0],[1 1 3 2],1.0634920634920635,1.0
0010001,[2 1 1 0 0 0 0],[2 1 3 1],1.0634920634920635,1.0
0100111,[2 1 1 0 0 0 0],[1 1 2 3],1.0634920634920635,1.0
1110110,[2 1 1 0 0 0 0],[3 1 2 1],1.0634920634920635,1.0
1001110,[2 1 1 0 0 0 0],[1 2 3 1],1.0634920634920635,1.0
1110100,[2 1 1 0 0 0 0],[3 1 1 2],1.0634920634920635,1.0
1110010,[2 1 1 0 0 0 0],[3 2 1 1],1.0634920634920635,1.0
1000110,[2 1 1 0 0 0 0],[1 3 2 1],1.0634920634920635,1.0
1100010,[2 1 1 0 0 0 0],[2 3 1 1],1.0634920634920635,1.0
0010111,[2 1 1 0 0 0 0],[2 1 1 3],1.0634920634920635,1.0
1101110,[2 1 1 0 0 0 0],[2 1 3 1],1.0634920634920635,1.0
1011100,[2 1 1 0 0 0 0],[1 1 3 2],1.0634920634920635,1.0
0111001,[2 1 1 0 0 0 0],[1 3 2 1],1.0634920634920635,1.0
0111011,[2 1 1 0 0 0 0],[1 3 1 2],1.0634920634920635,1.0
0001011,[2 1 1 0 0 0 0],[3 1 1 2],1.0634920634920635,1.0
0001001,[2 1 1 0 0 0 0],[3 1 2 1],1.0634920634920635,1.0
1101000,[2 1 1 0 0 0 0],[2 1 1 3],1.0634920634920635,1.0
1000100,[2 1 1 0 0 0 0],[1 3 1 2],1.0634920634920635,1.0
0110111,[2 1 1 0 0 0 0],[1 2 1 3],1.0634920634920635,1.0
