key,run_counts,run_partition,chi_squared,p_value
0000000000,[0 0 0 0 0 0 0 0 0 1],[10],515.5,0.001953125
1111111111,[0 0 0 0 0 0 0 0 0 1],[10],515.5,0.001953125
1000000000,[1 0 0 0 0 0 0 0 1 0],[1 9],257.8333333333333,0.005859375
1111111110,[1 0 0 0 0 0 0 0 1 0],[9 1],257.8333333333333,0.005859375
0000000001,[1 0 0 0 0 0 0 0 1 0],[9 1],257.8333333333333,0.005859375
0111111111,[1 0 0 0 0 0 0 0 1 0],[1 9],257.8333333333333,0.005859375
0011111111,[0 1 0 0 0 0 0 1 0 0],[2 8],104.62727272727273,0.009765625
1111111100,[0 1 0 0 0 0 0 1 0 0],[8 2],104.62727272727273,0.009765625
1100000000,[0 1 0 0 0 0 0 1 0 0],[2 8],104.62727272727273,0.009765625
0000000011,[0 1 0 0 0 0 0 1 0 0],[8 2],104.62727272727273,0.009765625
1111111101,[2 0 0 0 0 0 0 1 0 0],[8 1 1],103.23333333333333,0.015625
1011111111,[2 0 0 0 0 0 0 1 0 0],[1 1 8],103.23333333333333,0.015625
0111111110,[2 0 0 0 0 0 0 1 0 0],[1 8 1],103.23333333333333,0.015625
0100000000,[2 0 0 0 0 0 0 1 0 0],[1 1 8],103.23333333333333,0.015625
0000000010,[2 0 0 0 0 0 0 1 0 0],[8 1 1],103.23333333333333,0.015625
1000000001,[2 0 0 0 0 0 0 1 0 0],[1 8 1],103.23333333333333,0.015625
1111111000,[0 0 1 0 0 0 1 0 0 0],[7 3],45.766666666666666,0.01953125
1110000000,[0 0 1 0 0 0 1 0 0 0],[3 7],45.766666666666666,0.01953125
0000000111,[0 0 1 0 0 0 1 0 0 0],[7 3],45.766666666666666,0.01953125
0001111111,[0 0 1 0 0 0 1 0 0 0],[3 7],45.766666666666666,0.01953125
1100000001,[1 1 0 0 0 0 1 0 0 0],[2 7 1],43.22727272727273,0.03125
0010000000,[1 1 0 0 0 0 1 0 0 0],[2 1 7],43.22727272727273,0.03125
0011111110,[1 1 0 0 0 0 1 0 0 0],[2 7 1],43.22727272727273,0.03125
0110000000,[1 1 0 0 0 0 1 0 0 0],[1 2 7],43.22727272727273,0.03125
0111111100,[1 1 0 0 0 0 1 0 0 0],[1 7 2],43.22727272727273,0.03125
1000000011,[1 1 0 0 0 0 1 0 0 0],[1 7 2],43.22727272727273,0.03125
1001111111,[1 1 0 0 0 0 1 0 0 0],[1 2 7],43.22727272727273,0.03125
1111111011,[1 1 0 0 0 0 1 0 0 0],[7 1 2],43.22727272727273,0.03125
0000000110,[1 1 0 0 0 0 1 0 0 0],[7 2 1],43.22727272727273,0.03125
1101111111,[1 1 0 0 0 0 1 0 0 0],[2 1 7],43.22727272727273,0.03125
0000000100,[1 1 0 0 0 0 1 0 0 0],[7 1 2],43.22727272727273,0.03125
1111111001,[1 1 0 0 0 0 1 0 0 0],[7 2 1],43.22727272727273,0.03125
1010000000,[3 0 0 0 0 0 1 0 0 0],[1 1 1 7],43.166666666666664,0.0390625
1000000010,[3 0 0 0 0 0 1 0 0 0],[1 7 1 1],43.166666666666664,0.0390625
0111111101,[3 0 0 0 0 0 1 0 0 0],[1 7 1 1],43.166666666666664,0.0390625
0000000101,[3 0 0 0 0 0 1 0 0 0],[7 1 1 1],43.166666666666664,0.0390625
0101111111,[3 0 0 0 0 0 1 0 0 0],[1 1 1 7],43.166666666666664,0.0390625
0100000001,[3 0 0 0 0 0 1 0 0 0],[1 1 7 1],43.166666666666664,0.0390625
1111111010,[3 0 0 0 0 0 1 0 0 0],[7 1 1 1],43.166666666666664,0.0390625
1011111110,[3 0 0 0 0 0 1 0 0 0],[1 1 7 1],43.166666666666664,0.0390625
0000011111,[0 0 0 0 2 0 0 0 0 0],[5 5],33.5,0.041015625
1111100000,[0 0 0 0 2 0 0 0 0 0],[5 5],33.5,0.041015625
0000111111,[0 0 0 1 0 1 0 0 0 0],[4 6],23.341269841269842,0.044921875
1111000000,[0 0 0 1 0 1 0 0 0 0],[4 6],23.341269841269842,0.044921875
1111110000,[0 0 0 1 0 1 0 0 0 0],[6 4],23.341269841269842,0.044921875
0000001111,[0 0 0 1 0 1 0 0 0 0],[6 4],23.341269841269842,0.044921875
1100111111,[0 2 0 0 0 1 0 0 0 0],[2 2 6],20.694805194805195,0.05078125
1100000011,[0 2 0 0 0 1 0 0 0 0],[2 6 2],20.694805194805195,0.05078125
0000001100,[0 2 0 0 0 1 0 0 0 0],[6 2 2],20.694805194805195,0.05078125
1111110011,[0 2 0 0 0 1 0 0 0 0],[6 2 2],20.694805194805195,0.05078125
0011000000,[0 2 0 0 0 1 0 0 0 0],[2 2 6],20.694805194805195,0.05078125
0011111100,[0 2 0 0 0 1 0 0 0 0],[2 6 2],20.694805194805195,0.05078125
0001000000,[1 0 1 0 0 1 0 0 0 0],[3 1 6],19.71904761904762,0.0625
1110111111,[1 0 1 0 0 1 0 0 0 0],[3 1 6],19.71904761904762,0.0625
0000001000,[1 0 1 0 0 1 0 0 0 0],[6 1 3],19.71904761904762,0.0625
0001111110,[1 0 1 0 0 1 0 0 0 0],[3 6 1],19.71904761904762,0.0625
1110000001,[1 0 1 0 0 1 0 0 0 0],[3 6 1],19.71904761904762,0.0625
0111000000,[1 0 1 0 0 1 0 0 0 0],[1 3 6],19.71904761904762,0.0625
0111111000,[1 0 1 0 0 1 0 0 0 0],[1 6 3],19.71904761904762,0.0625
0000001110,[1 0 1 0 0 1 0 0 0 0],[6 3 1],19.71904761904762,0.0625
1111110001,[1 0 1 0 0 1 0 0 0 0],[6 3 1],19.71904761904762,0.0625
1111110111,[1 0 1 0 0 1 0 0 0 0],[6 1 3],19.71904761904762,0.0625
1000000111,[1 0 1 0 0 1 0 0 0 0],[1 6 3],19.71904761904762,0.0625
1000111111,[1 0 1 0 0 1 0 0 0 0],[1 3 6],19.71904761904762,0.0625
1010111111,[4 0 0 0 0 1 0 0 0 0],[1 1 1 1 6],19.119047619047617,0.072265625
1011111101,[4 0 0 0 0 1 0 0 0 0],[1 1 6 1 1],19.119047619047617,0.072265625
1000000101,[4 0 0 0 0 1 0 0 0 0],[1 6 1 1 1],19.119047619047617,0.072265625
