key,runs_1,runs_2,runs_3,runs_4,runs_5
00000,0,0,0,0,1
00001,1,0,0,1,0
00010,2,0,1,0,0
00011,0,1,1,0,0
00100,1,2,0,0,0
00101,3,1,0,0,0
00110,1,2,0,0,0
00111,0,1,1,0,0
01000,2,0,1,0,0
01001,3,1,0,0,0
01010,5,0,0,0,0
01011,3,1,0,0,0
01100,1,2,0,0,0
01101,3,1,0,0,0
01110,2,0,1,0,0
01111,1,0,0,1,0
10000,1,0,0,1,0
10001,2,0,1,0,0
10010,3,1,0,0,0
10011,1,2,0,0,0
10100,3,1,0,0,0
10101,5,0,0,0,0
10110,3,1,0,0,0
10111,2,0,1,0,0
11000,0,1,1,0,0
11001,1,2,0,0,0
11010,3,1,0,0,0
11011,1,2,0,0,0
11100,0,1,1,0,0
11101,2,0,1,0,0
11110,1,0,0,1,0
11111,0,0,0,0,1
