key,runs_1,runs_2,runs_3,runs_4,runs_5,runs_6,runs_7,runs_8
00000000,0,0,0,0,0,0,0,1
00000001,1,0,0,0,0,0,1,0
00000010,2,0,0,0,0,1,0,0
00000011,0,1,0,0,0,1,0,0
00000100,1,1,0,0,1,0,0,0
00000101,3,0,0,0,1,0,0,0
00000110,1,1,0,0,1,0,0,0
00000111,0,0,1,0,1,0,0,0
00001000,1,0,1,1,0,0,0,0
00001001,2,1,0,1,0,0,0,0
00001010,4,0,0,1,0,0,0,0
00001011,2,1,0,1,0,0,0,0
00001100,0,2,0,1,0,0,0,0
00001101,2,1,0,1,0,0,0,0
00001110,1,0,1,1,0,0,0,0
00001111,0,0,0,2,0,0,0,0
00010000,1,0,1,1,0,0,0,0
00010001,2,0,2,0,0,0,0,0
00010010,3,1,1,0,0,0,0,0
00010011,1,2,1,0,0,0,0,0
00010100,3,1,1,0,0,0,0,0
00010101,5,0,1,0,0,0,0,0
00010110,3,1,1,0,0,0,0,0
00010111,2,0,2,0,0,0,0,0
00011000,0,1,2,0,0,0,0,0
00011001,1,2,1,0,0,0,0,0
00011010,3,1,1,0,0,0,0,0
00011011,1,2,1,0,0,0,0,0
00011100,0,1,2,0,0,0,0,0
00011101,2,0,2,0,0,0,0,0
00011110,1,0,1,1,0,0,0,0
00011111,0,0,1,0,1,0,0,0
00100000,1,1,0,0,1,0,0,0
00100001,2,1,0,1,0,0,0,0
00100010,3,1,1,0,0,0,0,0
00100011,1,2,1,0,0,0,0,0
00100100,2,3,0,0,0,0,0,0
00100101,4,2,0,0,0,0,0,0
00100110,2,3,0,0,0,0,0,0
00100111,1,2,1,0,0,0,0,0
00101000,3,1,1,0,0,0,0,0
00101001,4,2,0,0,0,0,0,0
00101010,6,1,0,0,0,0,0,0
00101011,4,2,0,0,0,0,0,0
00101100,2,3,0,0,0,0,0,0
00101101,4,2,0,0,0,0,0,0
00101110,3,1,1,0,0,0,0,0
00101111,2,1,0,1,0,0,0,0
00110000,0,2,0,1,0,0,0,0
00110001,1,2,1,0,0,0,0,0
00110010,2,3,0,0,0,0,0,0
00110011,0,4,0,0,0,0,0,0
00110100,2,3,0,0,0,0,0,0
00110101,4,2,0,0,0,0,0,0
00110110,2,3,0,0,0,0,0,0
00110111,1,2,1,0,0,0,0,0
00111000,0,1,2,0,0,0,0,0
00111001,1,2,1,0,0,0,0,0
00111010,3,1,1,0,0,0,0,0
00111011,1,2,1,0,0,0,0,0
00111100,0,2,0,1,0,0,0,0
00111101,2,1,0,1,0,0,0,0
00111110,1,1,0,0,1,0,0,0
00111111,0,1,0,0,0,1,0,0
01000000,2,0,0,0,0,1,0,0
01000001,3,0,0,0,1,0,0,0
01000010,4,0,0,1,0,0,0,0
01000011,2,1,0,1,0,0,0,0
01000100,3,1,1,0,0,0,0,0
01000101,5,0,1,0,0,0,0,0
01000110,3,1,1,0,0,0,0,0
01000111,2,0,2,0,0,0,0,0
01001000,3,1,1,0,0,0,0,0
01001001,4,2,0,0,0,0,0,0
01001010,6,1,0,0,0,0,0,0
01001011,4,2,0,0,0,0,0,0
01001100,2,3,0,0,0,0,0,0
01001101,4,2,0,0,0,0,0,0
01001110,3,1,1,0,0,0,0,0
01001111,2,1,0,1,0,0,0,0
01010000,4,0,0,1,0,0,0,0
01010001,5,0,1,0,0,0,0,0
01010010,6,1,0,0,0,0,0,0
01010011,4,2,0,0,0,0,0,0
01010100,6,1,0,0,0,0,0,0
01010101,8,0,0,0,0,0,0,0
01010110,6,1,0,0,0,0,0,0
01010111,5,0,1,0,0,0,0,0
01011000,3,1,1,0,0,0,0,0
01011001,4,2,0,0,0,0,0,0
01011010,6,1,0,0,0,0,0,0
01011011,4,2,0,0,0,0,0,0
01011100,3,1,1,0,0,0,0,0
01011101,5,0,1,0,0,0,0,0
01011110,4,0,0,1,0,0,0,0
01011111,3,0,0,0,1,0,0,0
01100000,1,1,0,0,1,0,0,0
01100001,2,1,0,1,0,0,0,0
01100010,3,1,1,0,0,0,0,0
01100011,1,2,1,0,0,0,0,0
01100100,2,3,0,0,0,0,0,0
01100101,4,2,0,0,0,0,0,0
01100110,2,3,0,0,0,0,0,0
01100111,1,2,1,0,0,0,0,0
01101000,3,1,1,0,0,0,0,0
01101001,4,2,0,0,0,0,0,0
01101010,6,1,0,0,0,0,0,0
01101011,4,2,0,0,0,0,0,0
01101100,2,3,0,0,0,0,0,0
01101101,4,2,0,0,0,0,0,0
01101110,3,1,1,0,0,0,0,0
01101111,2,1,0,1,0,0,0,0
01110000,1,0,1,1,0,0,0,0
01110001,2,0,2,0,0,0,0,0
01110010,3,1,1,0,0,0,0,0
01110011,1,2,1,0,0,0,0,0
01110100,3,1,1,0,0,0,0,0
01110101,5,0,1,0,0,0,0,0
01110110,3,1,1,0,0,0,0,0
01110111,2,0,2,0,0,0,0,0
01111000,1,0,1,1,0,0,0,0
01111001,2,1,0,1,0,0,0,0
01111010,4,0,0,1,0,0,0,0
01111011,2,1,0,1,0,0,0,0
01111100,1,1,0,0,1,0,0,0
01111101,3,0,0,0,1,0,0,0
01111110,2,0,0,0,0,1,0,0
01111111,1,0,0,0,0,0,1,0
10000000,1,0,0,0,0,0,1,0
10000001,2,0,0,0,0,1,0,0
10000010,3,0,0,0,1,0,0,0
10000011,1,1,0,0,1,0,0,0
10000100,2,1,0,1,0,0,0,0
10000101,4,0,0,1,0,0,0,0
10000110,2,1,0,1,0,0,0,0
10000111,1,0,1,1,0,0,0,0
10001000,2,0,2,0,0,0,0,0
10001001,3,1,1,0,0,0,0,0
10001010,5,0,1,0,0,0,0,0
10001011,3,1,1,0,0,0,0,0
10001100,1,2,1,0,0,0,0,0
10001101,3,1,1,0,0,0,0,0
10001110,2,0,2,0,0,0,0,0
10001111,1,0,1,1,0,0,0,0
10010000,2,1,0,1,0,0,0,0
10010001,3,1,1,0,0,0,0,0
10010010,4,2,0,0,0,0,0,0
10010011,2,3,0,0,0,0,0,0
10010100,4,2,0,0,0,0,0,0
10010101,6,1,0,0,0,0,0,0
10010110,4,2,0,0,0,0,0,0
10010111,3,1,1,0,0,0,0,0
10011000,1,2,1,0,0,0,0,0
10011001,2,3,0,0,0,0,0,0
10011010,4,2,0,0,0,0,0,0
10011011,2,3,0,0,0,0,0,0
10011100,1,2,1,0,0,0,0,0
10011101,3,1,1,0,0,0,0,0
10011110,2,1,0,1,0,0,0,0
10011111,1,1,0,0,1,0,0,0
10100000,3,0,0,0,1,0,0,0
10100001,4,0,0,1,0,0,0,0
10100010,5,0,1,0,0,0,0,0
10100011,3,1,1,0,0,0,0,0
10100100,4,2,0,0,0,0,0,0
10100101,6,1,0,0,0,0,0,0
10100110,4,2,0,0,0,0,0,0
10100111,3,1,1,0,0,0,0,0
10101000,5,0,1,0,0,0,0,0
10101001,6,1,0,0,0,0,0,0
10101010,8,0,0,0,0,0,0,0
10101011,6,1,0,0,0,0,0,0
10101100,4,2,0,0,0,0,0,0
10101101,6,1,0,0,0,0,0,0
10101110,5,0,1,0,0,0,0,0
10101111,4,0,0,1,0,0,0,0
10110000,2,1,0,1,0,0,0,0
10110001,3,1,1,0,0,0,0,0
10110010,4,2,0,0,0,0,0,0
10110011,2,3,0,0,0,0,0,0
10110100,4,2,0,0,0,0,0,0
10110101,6,1,0,0,0,0,0,0
10110110,4,2,0,0,0,0,0,0
10110111,3,1,1,0,0,0,0,0
10111000,2,0,2,0,0,0,0,0
10111001,3,1,1,0,0,0,0,0
10111010,5,0,1,0,0,0,0,0
10111011,3,1,1,0,0,0,0,0
10111100,2,1,0,1,0,0,0,0
10111101,4,0,0,1,0,0,0,0
10111110,3,0,0,0,1,0,0,0
10111111,2,0,0,0,0,1,0,0
11000000,0,1,0,0,0,1,0,0
11000001,1,1,0,0,1,0,0,0
11000010,2,1,0,1,0,0,0,0
11000011,0,2,0,1,0,0,0,0
11000100,1,2,1,0,0,0,0,0
11000101,3,1,1,0,0,0,0,0
11000110,1,2,1,0,0,0,0,0
11000111,0,1,2,0,0,0,0,0
11001000,1,2,1,0,0,0,0,0
11001001,2,3,0,0,0,0,0,0
11001010,4,2,0,0,0,0,0,0
11001011,2,3,0,0,0,0,0,0
11001100,0,4,0,0,0,0,0,0
11001101,2,3,0,0,0,0,0,0
11001110,1,2,1,0,0,0,0,0
11001111,0,2,0,1,0,0,0,0
11010000,2,1,0,1,0,0,0,0
11010001,3,1,1,0,0,0,0,0
11010010,4,2,0,0,0,0,0,0
11010011,2,3,0,0,0,0,0,0
11010100,4,2,0,0,0,0,0,0
11010101,6,1,0,0,0,0,0,0
11010110,4,2,0,0,0,0,0,0
11010111,3,1,1,0,0,0,0,0
11011000,1,2,1,0,0,0,0,0
11011001,2,3,0,0,0,0,0,0
11011010,4,2,0,0,0,0,0,0
11011011,2,3,0,0,0,0,0,0
11011100,1,2,1,0,0,0,0,0
11011101,3,1,1,0,0,0,0,0
11011110,2,1,0,1,0,0,0,0
11011111,1,1,0,0,1,0,0,0
11100000,0,0,1,0,1,0,0,0
11100001,1,0,1,1,0,0,0,0
11100010,2,0,2,0,0,0,0,0
11100011,0,1,2,0,0,0,0,0
11100100,1,2,1,0,0,0,0,0
11100101,3,1,1,0,0,0,0,0
11100110,1,2,1,0,0,0,0,0
11100111,0,1,2,0,0,0,0,0
11101000,2,0,2,0,0,0,0,0
11101001,3,1,1,0,0,0,0,0
11101010,5,0,1,0,0,0,0,0
11101011,3,1,1,0,0,0,0,0
11101100,1,2,1,0,0,0,0,0
11101101,3,1,1,0,0,0,0,0
11101110,2,0,2,0,0,0,0,0
11101111,1,0,1,1,0,0,0,0
11110000,0,0,0,2,0,0,0,0
11110001,1,0,1,1,0,0,0,0
11110010,2,1,0,1,0,0,0,0
11110011,0,2,0,1,0,0,0,0
11110100,2,1,0,1,0,0,0,0
11110101,4,0,0,1,0,0,0,0
11110110,2,1,0,1,0,0,0,0
11110111,1,0,1,1,0,0,0,0
11111000,0,0,1,0,1,0,0,0
11111001,1,1,0,0,1,0,0,0
11111010,3,0,0,0,1,0,0,0
11111011,1,1,0,0,1,0,0,0
11111100,0,1,0,0,0,1,0,0
11111101,2,0,0,0,0,1,0,0
11111110,1,0,0,0,0,0,1,0
11111111,0,0,0,0,0,0,0,1
