Depth,Setup Time (seconds),Time v1 (seconds),Time v2 (seconds),Ratio (v1/v2)
1,0.00019752779999180348,0.0005484885999976541,0.00046370459995159763,1.1828405412732725
2,0.00020043099993927171,0.00043935409994446675,0.0005313002000548294,0.8269413410706904
3,0.0002552310999817564,0.0005946184999629622,0.0007238742000481579,0.8214390013118348
4,0.00029347279996727593,0.0008516195000083826,0.0009670854999967559,0.8806041451466694
5,0.0003005096999913803,0.0013786335000077088,0.0016361996999876283,0.8425826627508446
6,0.0003626796999924409,0.002374481500010006,0.00277225459994952,0.8565163892426197
7,0.0005875361999642337,0.004932913799984817,0.005685341899970808,0.8676547315492399
8,0.0007584716999190277,0.009200707799936935,0.009886517700033437,0.9306318037447926
9,0.0011518246000377986,0.0172820130999753,0.01870563789998414,0.9238932771167325
10,0.002539173400055006,0.03487207230000422,0.03817072580004606,0.9135815882223057
11,0.00433805279999433,0.07010506020005777,0.07528145500000391,0.9312394427027763
12,0.008401257500008797,0.14252943809997304,0.15180308009994406,0.9389100537758164
13,0.01833307219994822,0.29873257279996324,0.3020161694999842,0.9891277453605968
14,0.03764975860003687,0.6525639925000177,0.6152852236999934,1.0605877849233074
15,0.07954745309998543,1.5533956754000429,1.2585877591000099,1.234237075776777
16,0.17005221350000282,3.923724491600024,2.5112391048000062,1.5624655111893486
17,0.36123348230003105,11.836078922500018,5.013293645800059,2.3609386879653105
18,0.7767739492999681,40.501906707200035,10.101965321199987,4.009309616436984
19,1.6114616240999566,150.58011583610005,20.19548353930004,7.456128274575547
20,3.4383924225001463,659.7870066447001,40.63418632440007,16.237239288547297
